,locName,catName,distance
0,Merchant Square,Bar,43
1,The Clutha Bar,Beer Bar,496
2,Max's Bar and Grill,Cocktail Bar,432
3,The Z Hotel Glasgow,Hotel,450
4,13th Note,Night Club,247
5,Anchor Line,Cocktail Bar,529
6,Sub Club,Night Club,708
7,The Citizen Bar & Dining Rooms,Cocktail Bar,552
8,The Pot Still,Whisky Bar,933
9,Saint Luke’s,Music Venue,776
10,Hillhead Bookclub,Cocktail Bar,186
11,The Belle,Bar,251
12,Ubiquitous Chip,Bar,480
13,Inn Deep,Beer Bar,636
14,Strathmore Bar,Pub,755
15,The Crafty Pig,Beer Garden,481
16,Tennents Bar,Pub,607
17,Innis & Gunn Beer Kitchen - Ashton Lane,Pub,509
18,Brel,Beer Bar,500
19,Vodka Wodka,Bar,488
20,Nice N Sleazy,Night Club,227
21,Kimpton Blythswood Square Hotel,Hotel,617
22,The Butterfly & the Pig,Bar,673
23,The Pot Still,Whisky Bar,898
24,citizenM Hotel Glasgow,Hotel,956
25,Lebowskis,Cocktail Bar,610
26,Strip Joint,Bar,520
27,Hampton by Hilton Glasgow Central,Hotel,717
28,The Smoking Fox,Bar,926
29,Stereo,Wine Bar,962
30,The Z Hotel Glasgow,Hotel,500
31,Max's Bar and Grill,Cocktail Bar,789
32,Anchor Line,Cocktail Bar,735
33,The Citizen Bar & Dining Rooms,Cocktail Bar,758
34,The Ark Glasgow,Bar,468
35,Merchant Square,Bar,562
36,Shilling Brewing Co,Bar,883
37,13th Note,Night Club,849
38,The Raven,Bar,934
39,Republic Bier Halle,Beer Garden,899
40,The Laurieston Bar,Pub,38
41,The Clutha Bar,Beer Bar,592
42,Sub Club,Night Club,607
43,Hotel Motel One,Lodging,656
44,Max's Bar and Grill,Cocktail Bar,885
45,The Smoking Fox,Bar,868
46,Stereo,Wine Bar,957
47,13th Note,Night Club,848
48,Republic Bier Halle,Beer Garden,917
49,Rhoderick Dhu,Beer Bar,874
50,Max's Bar and Grill,Cocktail Bar,247
51,The Clutha Bar,Beer Bar,341
52,The Z Hotel Glasgow,Hotel,474
53,Anchor Line,Cocktail Bar,410
54,13th Note,Night Club,257
55,The Citizen Bar & Dining Rooms,Cocktail Bar,422
56,The Pot Still,Whisky Bar,769
57,Merchant Square,Bar,325
58,Stereo,Wine Bar,630
59,Travelodge,Hotel,245
60,citizenM Hotel Glasgow,Hotel,326
61,The Pot Still,Whisky Bar,516
62,The Z Hotel Glasgow,Hotel,476
63,The Butterfly & the Pig,Bar,626
64,The Raven,Bar,381
65,Kimpton Blythswood Square Hotel,Hotel,730
66,Anchor Line,Cocktail Bar,534
67,Shilling Brewing Co,Bar,462
68,The Citizen Bar & Dining Rooms,Cocktail Bar,534
69,Max's Bar and Grill,Cocktail Bar,705
70,Turnstyles,Bar,338
71,The Real McCoy,Pub,419
72,Kerrydale Bar,Sports Bar,420
73,The Oak Bar,Bar,572
74,Five Ways,Arts and Entertainment,866
75,Celtic FC Supporters Association Social Club,Sports Bar,892
76,The the Louden Tavern,Sports Bar,981
77,Crossreach,Hostel,184
78,Celtic Catering,Hotel,335
79,Heathbank Guest House,Hotel,378
80,"WEST Brewery, Bar & Restaurant",Bar,491
81,Saint Luke’s,Music Venue,807
82,The Seven Ways,Bar,42
83,The Crimson Star,Pub,123
84,The Scottsman Pub,Pub,254
85,The the Louden Tavern,Sports Bar,368
86,The Calton Bar,Bar,557
87,The Wee Mans Bar,Sports Bar,622
88,Bellgrove Hotel,Hostel,692
89,Squirrel Bar,Concert Hall,820
90,The Clutha Bar,Beer Bar,454
91,"WEST Brewery, Bar & Restaurant",Bar,890
92,13th Note,Night Club,618
93,Saint Luke’s,Music Venue,960
94,Ibis Styles Hotel,Hotel,991
95,The Laurieston Bar,Pub,713
96,Merchant Square,Bar,898
97,The Spiritualist,Wine Bar,955
98,Guy's Restaurant & Bar,Bar,820
99,Hootenanny,Pub,831
100,Radisson RED Glasgow,Lodging,559
101,The SSE Hydro,Concert Hall,777
102,Village Hotel Glasgow,Hotel,727
103,"Crowne Plaza Glasgow, an IHG Hotel",Lodging,957
104,Premier Inn Glasgow Pacific Quay hotel,Lodging,783
105,The Old Toll Bar,Wine Bar,29
106,Hilton Garden Inn Glasgow City Centre,Hotel,503
107,Quayside,Pub,189
108,LA Bartenders,Cocktail Bar,252
109,Hydro SECC Apartment,Residential Building,414
110,McMillan's Bar & Chop House,Bar,715
111,The butterfly and the pig,Arts and Entertainment,349
112,Linen 1906,Wine Bar,209
113,Church on the Hill,Pub,704
114,The Granary,Pub,138
115,James Tassie,Bar,25
116,Gulp Bar,Bar,35
117,The Ivory Hotel,Hotel,570
118,Paddy Losty’s,Pub,87
119,Curious Liquids,Wine Bar,95
120,Burrell,Bar,14
121,Old Stag Inn,Pub,217
122,Linen 1906,Wine Bar,997
123,Quaich,Pub,547
124,Celtic Pub,Beer Garden,554
125,The Granary,Pub,929
126,Paddy Losty’s,Pub,785
127,James Tassie,Bar,820
128,Gulp Bar,Bar,809
129,Curious Liquids,Wine Bar,895
130,Redmond's,Pub,977
131,The Duchess of Duke Street,Pub,740
132,La Cala Bar,Pub,245
133,The Bristol Bar,Dive Bar,451
134,Duke Bar,Pub,495
135,Louden Tavern Limited,Pub,555
136,The Alexandra,Pub,561
