,Name,Latitude,Longitude,numberOfBikes
0,Merchant Square - ELECTRIC,55.858167,-4.245483,2
1,Botanic Gardens - ELECTRIC,55.878278,-4.288487,2
2,Mitchell Library,55.864788,-4.271852,0
3,University of Strathclyde (North),55.862983,-4.241,0
4,Bridge Street Subway - ELECTRIC,55.8525,-4.25885,9
5,Argyle Street Railway Station - ELECTRIC,55.857575,-4.249976,6
6,Glasgow Caledonian University - ELECTRIC,55.865817,-4.251367,0
7,Emirates Arena,55.846515,-4.208477,9
8,Bridgeton,55.848939,-4.226823,19
9,City of Glasgow College (Riverside Campus) - ELECTRIC,55.850554,-4.248127,9
10,Paisley Road Toll - ELECTRIC ,55.85378,-4.279158,9
11,Shawlands Shopping Centre (Kilmarnock Road),55.829057,-4.282675,10
12,Shawlands Railway Station - ELECTRIC,55.827371,-4.29567,8
13,Alexandra Park (south entrance) Alexandra Parade Railway Station,55.863128,-4.210282,4
14,Duke Street Railway Station,55.858222,-4.213473,3
15,Springfield Quay 2,55.854391,-4.274764,6
16,Sauchiehall Street,55.865291,-4.261756,0
17,Mount Florida Railway Station,55.827282,-4.259255,5
18,Port Dundas,55.877822,-4.254817,0
19,Firhill Road - ELECTRIC,55.878787,-4.26877,6
20,Queen Margaret Drive / Maryhill Road,55.8849,-4.281414,1
21,Possil Health Centre (Saracen Street) - ELECTRIC,55.881493,-4.254465,0
22,Glasgow Forge (Gallowgate),55.852705,-4.201594,2
23,Broomielaw West ,55.85658,-4.26887,1
24,King Street South,55.85586,-4.24695,6
25,Broomhill,55.871029,-4.321625,10
26,Hyndland Road ,55.876975,-4.306222,2
27,Carrick Quay,55.85476,-4.25164,7
28,132 Bath Street,55.864132,-4.259101,0
29,Speirs Wharf - ELECTRIC,55.870992,-4.260426,1
30,Bellgrove Railway Station (North) - ELECTRIC ,55.858123,-4.224511,11
31,University of Strathclyde (South) - ELECTRIC,55.860633,-4.2419,1
32,Glasgow Green,55.84945,-4.23375,23
33,George Square - ELECTRIC,55.86155,-4.2494,1
34,St George's Cross - ELECTRIC,55.871367,-4.269117,5
35,Pollokshields East Railway,55.841494,-4.269701,4
36,Mount Vernon Railway Station,55.840336,-4.135251,13
37,Anniesland Library,55.890398,-4.324766,3
38,Waterloo Street - ELECTRIC,55.86077,-4.264535,2
39,Broomielaw - ELECTRIC,55.8566,-4.263521,3
40,Kelvinbridge Subway - ELECTRIC,55.87501,-4.280371,0
41,Kelvingrove Art Gallery - ELECTRIC,55.868352,-4.289405,11
42,Gallery of Modern Art - ELECTRIC,55.859716,-4.251945,1
43,University of Glasgow (East) - ELECTRIC,55.871763,-4.27807,7
44,Partick Interchange ,55.869707,-4.308459,9
45,Finnieston Street,55.863422,-4.280677,6
46,Barrowlands - ELECTRIC,55.855152,-4.235294,7
47,Queens Park Railway Station - ELECTRIC,55.834976,-4.265485,7
48,Queens Park West,55.835042,-4.272346,9
49,Gartnavel General Hospital,55.883971,-4.31046,5
50,Charing Cross Railway Station,55.864563,-4.270055,1
51,Kelvinhaugh Street / Argyle Street - ELECTRIC,55.865222,-4.286127,6
52,Dalmarnock Railway Station - ELECTRIC,55.842561,-4.217704,14
53,Glasgow Green - Saltmarket / Clyde Place - ELECTRIC,55.853194,-4.246983,4
54,Springfield Quay 1,55.855185,-4.273478,16
55,Battlefield - ELECTRIC,55.827395,-4.265319,13
56,Ibrox,55.850987,-4.301448,22
57,St Andrews Drive @ Maxwell Drive,55.845518,-4.286476,6
58,Springburn Railway Station,55.882232,-4.230428,10
59,Cathcart Railway Station,55.817338,-4.262688,5
60,Corkerhill Railway Station,55.836355,-4.335149,6
61,Riddrie South,55.867405,-4.192788,5
62,Maryhill Library,55.891127,-4.290879,7
63,Gorbals Library,55.848564,-4.250996,6
64,Central Station - ELECTRIC,55.860776,-4.258597,3
65,Queen Street Railway ,55.862102,-4.252307,1
66,Buchanan Street Bus Station - ELECTRIC,55.864993,-4.252567,0
67,Shields Road,55.845807,-4.275232,8
68,Govan Cross,55.863,-4.311378,19
69,Bellahouston Park,55.849072,-4.314376,5
70,Clifton St / Kelvingrove Park East,55.86698,-4.278874,1
71,The Round Toll,55.87422,-4.26136,1
72,Whiteinch Library,55.874555,-4.333357,12
73,Riverside Museum,55.865683,-4.305367,3
74,Tollcross International Swimming Centre,55.84425,-4.176167,9
75,Scottish Event Campus (formerly S.E.C.C),55.859081,-4.287211,9
76,Glasgow Science Centre,55.8585,-4.292972,0
77,Cambridge Street - ELECTRIC,55.865063,-4.260291,0
78,Springfield Rd,55.848885,-4.20064,9
79,Shakespeare Street (Maryhill) - ELECTRIC,55.886934,-4.285022,6
80,Langside Hall - ELECTRIC,55.831951,-4.277989,8
81,Yorkhill Street South,55.864135,-4.292988,3
82,Glasgow Central West,55.858587,-4.259847,24
83,Woodside (North) - ELECTRIC,55.875061,-4.270678,6
84,St Enoch Square - ELECTRIC,55.856859,-4.255593,5
85,Cessnock Subway Station - ELECTRIC,55.85196,-4.294538,14
86,Eglinton Toll - ELECTRIC,55.843308,-4.26217,9
87,University of Glasgow (West),55.872774,-4.292135,1
88,"University Hospital, Queen Eliza",55.862672,-4.341751,5
89,Alexandra Parade (West) - ELECTRIC,55.864472,-4.223208,11
90,Burrell Collection,55.829914,-4.306877,8
91,St Andrews Drive - Dalziel Drive,55.840988,-4.289947,7
92,Hampden Park and Ride,55.827974,-4.247278,10
93,Kelvin Hall Subway Station,55.870857,-4.300665,5
94,Stobhill Hospital,55.890389,-4.216525,4
95,Fullarton,55.837175,-4.170209,5
96,Scotstoun South,55.875431,-4.342325,8
97,Anderston Railway Station,55.859996,-4.270163,0
98,Maryland Drive,55.846552,-4.332797,2
99,Trongate,55.855961,-4.244671,5
100,Glasgow Cathedral - ELECTRIC,55.862973,-4.237745,1
101,St Rollox,55.878152,-4.242439,0
